eps:0 entropy:30.852584838867188 kld:0.02376556396484375 ratio:0.01 tf:0 BLEU:0.032812321096963394 Gassian:0.0
eps:1 entropy:26.877708435058594 kld:0.08506625145673752 ratio:0.02 tf:0 BLEU:0.041403979622369656 Gassian:0.0
eps:2 entropy:25.87150001525879 kld:0.12236693501472473 ratio:0.03 tf:0 BLEU:0.04135092983453775 Gassian:0.0
eps:3 entropy:25.339439392089844 kld:0.1426083892583847 ratio:0.04 tf:0 BLEU:0.055741221450191517 Gassian:0.0
eps:4 entropy:24.517127990722656 kld:0.1698720008134842 ratio:0.05 tf:0 BLEU:0.06262729258390655 Gassian:0.0
eps:5 entropy:21.111907958984375 kld:0.2688724398612976 ratio:0.06 tf:0 BLEU:0.06503087832382808 Gassian:0.0
eps:6 entropy:19.46084976196289 kld:0.3581453561782837 ratio:0.07 tf:0 BLEU:0.07889651273251692 Gassian:0.0
eps:7 entropy:18.586755752563477 kld:0.3990043103694916 ratio:0.08 tf:0 BLEU:0.080410326023595 Gassian:0.0
eps:8 entropy:17.80704689025879 kld:0.40445858240127563 ratio:0.09 tf:0 BLEU:0.08131871192734916 Gassian:0.0
eps:9 entropy:18.015575408935547 kld:0.42490100860595703 ratio:0.1 tf:0 BLEU:0.06665130108544029 Gassian:0.0
eps:10 entropy:17.043933868408203 kld:0.41858598589897156 ratio:0.11 tf:0 BLEU:0.0776442611674496 Gassian:0.0
eps:11 entropy:17.135570526123047 kld:0.49581560492515564 ratio:0.12 tf:0 BLEU:0.08543670453558921 Gassian:0.0
eps:12 entropy:15.63107681274414 kld:0.540301501750946 ratio:0.13 tf:0 BLEU:0.0700644633529888 Gassian:0.0
eps:13 entropy:15.235809326171875 kld:0.5676001906394958 ratio:0.14 tf:0 BLEU:0.06091154412752011 Gassian:0.0
eps:14 entropy:14.694914817810059 kld:0.5961176753044128 ratio:0.15 tf:0 BLEU:0.059657106385427296 Gassian:0.0
eps:15 entropy:14.085806846618652 kld:0.6390124559402466 ratio:0.16 tf:0 BLEU:0.06197053543178954 Gassian:0.0
eps:16 entropy:14.006893157958984 kld:0.7070821523666382 ratio:0.17 tf:0 BLEU:0.0808819874362037 Gassian:0.0
eps:17 entropy:12.997035026550293 kld:0.7369135022163391 ratio:0.18 tf:0 BLEU:0.07677768063678383 Gassian:0.0
eps:18 entropy:12.348786354064941 kld:0.7789862155914307 ratio:0.19 tf:0 BLEU:0.08066517032946938 Gassian:0.0
eps:19 entropy:11.646076202392578 kld:0.81402587890625 ratio:0.2 tf:0 BLEU:0.085990373743819 Gassian:0.0
eps:20 entropy:11.031997680664062 kld:0.8588666319847107 ratio:0.21 tf:0 BLEU:0.11279493098572671 Gassian:0.0
eps:21 entropy:10.399531364440918 kld:0.8931928277015686 ratio:0.22 tf:0 BLEU:0.08289011819228717 Gassian:0.0
eps:22 entropy:9.789920806884766 kld:0.9302517175674438 ratio:0.23 tf:0 BLEU:0.09656175475537557 Gassian:0.0
eps:23 entropy:9.140120506286621 kld:0.9676088094711304 ratio:0.24 tf:0 BLEU:0.18465585318694736 Gassian:0.0
eps:24 entropy:8.468378067016602 kld:0.990911066532135 ratio:0.25 tf:0 BLEU:0.15059097993623263 Gassian:0.0
